,Lables,Path
0,garlic,Preprocessed/train/garlic/0.jpg
1,garlic,Preprocessed/train/garlic/1.jpg
2,garlic,Preprocessed/train/garlic/10.jpg
3,garlic,Preprocessed/train/garlic/12.jpg
4,garlic,Preprocessed/train/garlic/13.jpg
5,garlic,Preprocessed/train/garlic/14.jpg
6,garlic,Preprocessed/train/garlic/15.jpg
7,garlic,Preprocessed/train/garlic/16.jpg
8,garlic,Preprocessed/train/garlic/17.jpg
9,garlic,Preprocessed/train/garlic/18.jpg
10,garlic,Preprocessed/train/garlic/19.jpg
11,garlic,Preprocessed/train/garlic/2.jpg
12,garlic,Preprocessed/train/garlic/20.jpg
13,garlic,Preprocessed/train/garlic/21.jpg
14,garlic,Preprocessed/train/garlic/22.jpg
15,garlic,Preprocessed/train/garlic/23.jpg
16,garlic,Preprocessed/train/garlic/24.jpg
17,garlic,Preprocessed/train/garlic/25.jpg
18,garlic,Preprocessed/train/garlic/26.jpg
19,garlic,Preprocessed/train/garlic/27.jpg
20,garlic,Preprocessed/train/garlic/3.jpg
21,garlic,Preprocessed/train/garlic/30.jpg
22,garlic,Preprocessed/train/garlic/31.jpg
23,garlic,Preprocessed/train/garlic/33.jpg
24,garlic,Preprocessed/train/garlic/34.jpg
25,garlic,Preprocessed/train/garlic/35.jpg
26,garlic,Preprocessed/train/garlic/36.jpg
27,garlic,Preprocessed/train/garlic/37.jpg
28,garlic,Preprocessed/train/garlic/38.jpg
29,garlic,Preprocessed/train/garlic/39.jpg
30,garlic,Preprocessed/train/garlic/40.jpg
31,garlic,Preprocessed/train/garlic/41.jpg
32,garlic,Preprocessed/train/garlic/42.jpg
33,garlic,Preprocessed/train/garlic/43.jpg
34,garlic,Preprocessed/train/garlic/44.jpg
35,garlic,Preprocessed/train/garlic/45.jpg
36,garlic,Preprocessed/train/garlic/46.jpg
37,garlic,Preprocessed/train/garlic/47.jpg
38,garlic,Preprocessed/train/garlic/48.jpg
39,garlic,Preprocessed/train/garlic/5.jpg
40,garlic,Preprocessed/train/garlic/7.jpg
41,garlic,Preprocessed/train/garlic/8.jpg
42,garlic,Preprocessed/train/garlic/9.jpg
43,garlic,Preprocessed/train/garlic/AUG023.jpg
44,garlic,Preprocessed/train/garlic/AUG024.jpg
45,garlic,Preprocessed/train/garlic/AUG10431.jpg
46,garlic,Preprocessed/train/garlic/AUG1062.jpg
47,garlic,Preprocessed/train/garlic/AUG113.jpg
48,garlic,Preprocessed/train/garlic/AUG11421.jpg
49,garlic,Preprocessed/train/garlic/AUG120.jpg
50,garlic,Preprocessed/train/garlic/AUG1223.jpg
51,garlic,Preprocessed/train/garlic/AUG1227.jpg
52,garlic,Preprocessed/train/garlic/AUG1234.jpg
53,garlic,Preprocessed/train/garlic/AUG1247.jpg
54,garlic,Preprocessed/train/garlic/AUG127.jpg
55,garlic,Preprocessed/train/garlic/AUG13122.jpg
56,garlic,Preprocessed/train/garlic/AUG1319.jpg
57,garlic,Preprocessed/train/garlic/AUG13543.jpg
58,garlic,Preprocessed/train/garlic/AUG137.jpg
59,garlic,Preprocessed/train/garlic/AUG14226.jpg
60,garlic,Preprocessed/train/garlic/AUG1512.jpg
61,garlic,Preprocessed/train/garlic/AUG1516.jpg
62,garlic,Preprocessed/train/garlic/AUG1540.jpg
